00001740-a	able.a.01
00002098-a	unable.a.01
00002312-a	abaxial.a.01
00002527-a	adaxial.a.01
00002730-a	acroscopic.a.01
00002843-a	basiscopic.a.01
00002956-a	abducent.a.01
00003131-a	adducent.a.01
00003356-a	nascent.a.01
00003553-s	emergent.s.02
00003700-s	dissilient.s.01
00003829-s	parturient.s.02
00003939-a	dying.a.01
00004171-s	moribund.s.02
00004296-s	last.s.05
00004413-a	abridged.a.01
00004615-s	cut.s.03
00004723-s	half-length.s.02
00004817-s	potted.s.03
00004980-a	unabridged.a.01
00005107-s	full-length.s.02
00005205-a	absolute.a.01
00005473-s	direct.s.10
00005599-s	implicit.s.02
00005718-s	infinite.s.04
00005839-s	living.s.03
00006032-a	relative.a.01
00006245-s	relational.s.01
00006336-a	absorbent.a.01
00006777-s	absorbefacient.s.01
00006885-s	assimilating.s.01
00007096-s	hygroscopic.s.01
00007208-s	receptive.s.04
00007331-s	shock-absorbent.s.01
00007516-s	spongy.s.02
00007697-s	thirsty.s.04
00007813-a	nonabsorbent.a.01
00007990-s	repellent.s.03
00008206-a	adsorbent.a.01
00008443-s	chemisorptive.s.01
00008595-a	nonadsorbent.a.01
00008734-a	absorbable.a.01
00008877-a	adsorbable.a.01
00009046-a	abstemious.a.01
00009346-s	abstinent.s.01
00009618-s	ascetic.s.02
00009978-a	gluttonous.a.01
00010385-s	crapulous.s.02
00010537-s	crapulent.s.01
00010726-s	edacious.s.01
00011160-s	greedy.s.03
00011327-s	hoggish.s.01
00011665-s	overgreedy.s.01
00011757-a	abstract.a.01
00012071-s	conceptional.s.01
00012362-s	conceptual.s.01
00012689-s	ideal.s.02
00012932-s	ideological.s.02
00013160-a	concrete.a.01
00013442-s	objective.s.04
00013662-s	real.s.04
00013887-a	abundant.a.01
00014358-s	abounding.s.01
00014490-s	ample.s.02
00014858-s	copious.s.01
00015097-s	easy.s.12
00015247-s	exuberant.s.03
00015480-s	thick.s.10
00015589-s	long.s.09
00015720-s	overabundant.s.01
00015854-s	plentiful.s.01
00016005-s	rampant.s.03
00016135-s	rank.s.05
00016247-s	superabundant.s.01
00016350-s	teeming.s.01
00016532-s	torrential.s.03
00016647-s	verdant.s.01
00016756-a	scarce.a.01
00017024-s	rare.s.03
00017186-s	tight.s.06
00017352-a	abused.a.02
00017509-s	battered.s.03
00017688-a	unabused.a.01
00017782-a	acceptable.a.01
00018069-s	bankable.s.02
00018222-s	unexceptionable.s.01
00018435-s	unobjectionable.s.03
00018584-a	unacceptable.a.02
00018850-s	exceptionable.s.01
00019131-a	accessible.a.01
00019349-s	approachable.s.03
00019505-s	come-at-able.s.02
00019731-s	handy.s.01
00019874-a	inaccessible.a.01
00020103-s	outback.s.01
00020241-s	pathless.s.01
00020410-s	unapproachable.s.02
00020647-s	un-come-at-able.s.01
00020787-a	accommodating.a.01
00021110-s	complaisant.s.01
00021403-a	unaccommodating.a.01
00021592-s	disobliging.s.01
00021766-a	accurate.a.01
00022219-s	close.s.05
00022437-s	dead-on.s.01
00022680-s	high-fidelity.s.01
00022852-s	surgical.s.03
00022962-s	straight.s.05
00023120-s	true.s.02
00023278-s	veracious.s.02
00023383-a	inaccurate.a.01
00023655-s	away.s.03
00023854-s	faulty.s.02
00024139-s	unfaithful.s.04
00024241-s	wide.s.07
00024417-a	accustomed.a.01
00024619-s	used_to.s.01
00024834-a	unaccustomed.a.01
00024996-s	new.s.11
00025138-s	unused.s.04
00025238-a	acidic.a.01
00025470-s	acid.s.03
00025633-s	acid-forming.s.01
00025728-a	alkaline.a.01
00026051-s	alkalescent.s.01
00026168-s	basic.s.04
00026294-s	base-forming.s.01
00026388-s	saltlike.s.01
00026515-a	amphoteric.a.01
00026706-a	acid-loving.a.01
00026895-s	acidophilic.s.01
00027074-a	alkaline-loving.a.01
00027247-a	acknowledged.a.01
00027599-s	accepted.s.01
00027833-s	self-confessed.s.01
00028008-s	assumptive.s.02
00028181-s	declarable.s.01
00028280-s	given.s.01
00028471-s	putative.s.01
00028672-a	unacknowledged.a.01
00028867-s	unappreciated.s.02
00028984-s	unavowed.s.03
00029108-s	unconfessed.s.01
