"ftsim","fesim","aggregation","roles","alpha","score","label"
"occ","wup","max","FALSE",0,0.2743,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.1,0.30933,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.2,0.31902,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.3,0.3183,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.4,0.31596,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.5,0.31349,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.6,0.31208,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.7,0.31072,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.8,0.30924,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",0.9,0.3079,"occ-wup-max-FALSE"
"occ","wup","max","FALSE",1,0.3067,"occ-wup-max-FALSE"
"occ","wup","max","TRUE",0,0.32848,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.1,0.34195,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.2,0.34249,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.3,0.33618,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.4,0.32964,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.5,0.32322,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.6,0.31843,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.7,0.31488,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.8,0.31174,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",0.9,0.30904,"occ-wup-max-TRUE"
"occ","wup","max","TRUE",1,0.3067,"occ-wup-max-TRUE"
"occ","wup","avg","FALSE",0,0.30895,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.1,0.36671,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.2,0.39692,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.3,0.4111,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.4,0.41781,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.5,0.4213,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.6,0.42318,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.7,0.4241,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.8,0.4245,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",0.9,0.42456,"occ-wup-avg-FALSE"
"occ","wup","avg","FALSE",1,0.42452,"occ-wup-avg-FALSE"
"occ","wup","avg","TRUE",0,0.43994,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.1,0.45625,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.2,0.45693,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.3,0.45292,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.4,0.44778,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.5,0.4425,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.6,0.43783,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.7,0.43376,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.8,0.43022,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",0.9,0.4272,"occ-wup-avg-TRUE"
"occ","wup","avg","TRUE",1,0.42452,"occ-wup-avg-TRUE"
"dist","wup","max","FALSE",0,0.2743,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.1,0.27368,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.2,0.27268,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.3,0.27151,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.4,0.26901,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.5,0.26398,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.6,0.25647,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.7,0.24748,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.8,0.23723,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",0.9,0.22634,"dist-wup-max-FALSE"
"dist","wup","max","FALSE",1,0.2148,"dist-wup-max-FALSE"
"dist","wup","max","TRUE",0,0.32848,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.1,0.32161,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.2,0.31381,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.3,0.30506,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.4,0.29534,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.5,0.28463,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.6,0.2725,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.7,0.25948,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.8,0.24544,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",0.9,0.23065,"dist-wup-max-TRUE"
"dist","wup","max","TRUE",1,0.2148,"dist-wup-max-TRUE"
"dist","wup","avg","FALSE",0,0.30895,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.1,0.3135,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.2,0.31822,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.3,0.32304,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.4,0.32685,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.5,0.32915,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.6,0.32921,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.7,0.32719,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.8,0.3238,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",0.9,0.31918,"dist-wup-avg-FALSE"
"dist","wup","avg","FALSE",1,0.31344,"dist-wup-avg-FALSE"
"dist","wup","avg","TRUE",0,0.43994,"dist-wup-avg-TRUE"
